# Wavelength [nm],zero_counts_50avgs_60.0ms
376.40653313634465,-48.203701021160335
376.8587367992625,-37.77696446920265
377.31092052304,-52.03770318334545
377.7630842933271,-56.39975136253724
378.21522809577374,-53.446111490397435
378.6673519160298,-51.68558215909684
379.1194557397453,-51.45088053130485
379.57153955257,-50.70750198728112
380.0236033401539,-54.81533619023322
380.47564708814696,-55.793357086639716
380.9276707821991,-58.04275385903362
381.37967440796007,-57.08436665244999
381.83165795108,-59.940110293103324
382.2836213972087,-53.30917622006915
382.7355647319962,-56.26278611904132
383.18748794109223,-48.00803597553222
383.6393910101468,-60.58559755693488
384.09127392481,-58.17970009301379
384.54313667073154,-52.937499079857524
384.99497923356137,-54.834905004235495
385.44680159894943,-57.72986978256234
385.8986037525457,-49.553445121623135
386.35038568000004,-55.382609736072425
386.8021473669623,-50.78574621850077
387.2538887990825,-54.091597786199245
387.7056099620106,-49.80769798090217
388.1573108413965,-60.95723581428252
388.60899142288997,-57.690694297317506
389.0606516921411,-55.55864517599525
389.51229163479974,-53.367835747974596
389.96391123651586,-55.030447979910306
390.4155104829392,-57.16260828262397
390.86708935971996,-52.585375278023996
391.3186478525079,-48.84917343968802
391.77018594695295,-57.59295196117566
392.22170362870503,-53.54386037813148
392.67320088341404,-51.41170860189575
393.12467769673003,-54.61972282467964
393.5761340543027,-53.23089263465885
394.02756994178213,-52.91796788608761
394.4789853448183,-56.36057634810955
394.93038024906093,-49.06440964417875
395.38175464016,-54.03287691662085
395.8331085037655,-57.35816919088698
396.2844418255273,-53.211378902577614
396.7357545910955,-57.279971961188124
397.18704678611965,-49.2404618634694
397.63831839625,-54.01335531699841
398.0895694071363,-58.59044726081928
398.5407998044286,-54.58061812502332
398.99200957377667,-53.81773695748147
399.44319870083046,-58.316612529105825
399.89436717124,-56.73227451785157
400.3455149706552,-53.09399020593946
400.7966420847258,-46.89305428450011
401.2477484991018,-51.56822488218326
401.6988341994333,-46.521327997097295
402.14989917137,-58.649133651656655
402.6009434005619,-51.70517248050692
403.05196687265897,-48.43842639428535
403.502969573311,-51.56825404177734
403.9539514881681,-60.487803374466814
404.40491260288,-52.624566788864485
404.8558529030967,-60.68337538896471
405.30677237446815,-54.248053006093876
405.75767100264426,-50.101183368906185
406.2085487732749,-59.70542712688865
406.65940567201,-54.16988447450811
407.11024168449956,-56.79095274521131
407.56105679639336,-54.991359197093644
408.01185099334145,-48.457983554054415
408.46262426099366,-49.553415876098555
408.91337658500004,-59.235956284537934
409.36410795101034,-44.760818663135915
409.81481834467456,-42.25679688696021
410.26550775164264,-56.71273876280056
410.71617615756446,-54.44366633758763
411.16682354809,-50.375047236019164
411.6174499088691,-61.70048614719694
412.06805522555175,-55.558641151718454
412.51863948378787,-58.96209692244153
412.96920266922734,-57.7102714616419
413.41974476752,-56.65403585510575
413.8702657643159,-43.35232117701268
414.32076564526494,-57.27992953508402
414.77124439601704,-38.77465147776892
415.22170200222206,-53.70041385557438
415.67213844952994,-52.5658547245102
416.1225537235907,-51.900774306142324
416.5729478100542,-53.38741268660463
417.02332069457026,-59.314196534993606
417.4736723627889,-59.470691185720646
417.92400280036,-56.08674624113612
418.37431199293354,-53.09397020034922
418.82459992615935,-44.33043901684176
419.2748665856874,-56.165033130932436
419.7251119571677,-55.050066114837925
420.17533602625,-55.48033727449553
420.6255387785843,-49.55342661497378
421.0757201998205,-48.24281137266596
421.52588027560864,-54.22850252181706
421.9760189915985,-53.52435091734053
422.42613633344,-51.939908831796394
422.87623228678314,-53.70041480848001
423.3263068372778,-55.441207615856996
423.7763599705739,-51.41177022434222
424.22639167232126,-56.32144184166471
424.67640192817004,-52.99615079678587
425.12639072377,-57.808042114375596
425.576358044771,-46.81481780170109
426.0263038768231,-40.94616488322782
426.4762282055761,-56.673572548731144
426.92613101668,-59.1577129561537
427.37601229578473,-50.02295180231737
427.8258720285401,-57.39733109825985
428.2757102005963,-59.60756856327247
428.7255267976029,-52.33113656688673
429.17532180521005,-55.12831322186585
429.62509520906747,-54.95226736316746
